# istep time pe ke temperature
0 0 -819.631 16200 100
10 0.005 -501.707 15996.4 98.743
20 0.01 1831.11 13905.5 85.8365
30 0.015 4121.3 11565.1 71.3897
40 0.02 4125.08 11877 73.3147
50 0.025 5079.14 10892.7 67.2388
60 0.03 5369.72 10523.2 64.9578
70 0.035 5047.87 11234.6 69.3495
80 0.04 4360.88 11634 71.8147
90 0.045 4609.87 11266.8 69.5483
100 0.05 4860.38 10963.9 67.6786
110 0.055 4908.89 10774.6 66.5096
120 0.06 5060.94 10731.8 66.2457
130 0.065 5089.12 10826 66.8272
140 0.07 4426.6 11468.8 70.7949
150 0.075 4379.67 11845.2 73.1184
160 0.08 3798.04 12482.5 77.0524
170 0.085 3722.5 12752.7 78.7201
180 0.09 4262.25 12538.6 77.3985
190 0.095 4574.23 12477.6 77.0223
200 0.1 3840.36 13014.5 80.3364
210 0.105 3936.31 12499.2 77.1555
220 0.11 4610.29 12064.4 74.4718
230 0.115 4303.71 12483 77.0554
240 0.12 4313.09 12508.5 77.2132
250 0.125 4262.35 12372.9 76.376
260 0.13 4413.53 12508.6 77.2135
270 0.135 4356.94 12609.5 77.8362
280 0.14 3899.32 13479.9 83.2095
290 0.145 3983.27 13635.5 84.1696
300 0.15 4696.25 13009.3 80.304
310 0.155 4659.21 13228.5 81.6577
320 0.16 4604.48 13195 81.4507
330 0.165 4920.92 13302.1 82.1118
340 0.17 4507.43 13727.9 84.7401
350 0.175 4966.64 13307.9 82.1477
360 0.18 5097.64 13395.1 82.6856
370 0.185 4274.77 14254.3 87.9894
380 0.19 4555.64 14011 86.4876
390 0.195 4000.57 14738.9 90.9807
400 0.2 3828.91 14911.8 92.0482
410 0.205 4088.53 14815.2 91.4517
420 0.21 4337.07 14878.8 91.8442
430 0.215 5331.61 13655.7 84.2943
440 0.22 5401.43 13803.8 85.2085
450 0.225 5126.22 14074.7 86.8806
460 0.23 5099.02 14685.4 90.6504
470 0.235 5169.96 14433.2 89.0941
480 0.24 5379.17 14132.7 87.239
490 0.245 5495.51 14247.3 87.9464
500 0.25 5060.24 14665.8 90.5298
510 0.255 4507.67 15344.2 94.7171
520 0.26 4816.08 15002.4 92.6075
530 0.265 5174.1 14572.2 89.9519
540 0.27 6108.9 13446.5 83.003
550 0.275 4969.79 14487.3 89.4276
560 0.28 5117.5 14325.4 88.4284
570 0.285 4879.14 14344.1 88.5438
580 0.29 6249.78 13512.7 83.412
590 0.295 6090.7 14110.6 87.1022
600 0.3 5473.37 14646.2 90.4089
610 0.305 4712.6 15409.9 95.1226
620 0.31 5831.48 13868.8 85.6099
630 0.315 4865.84 14375.3 88.7366
640 0.32 4739.36 14222.8 87.7948
650 0.325 4254.3 14971.3 92.4151
660 0.33 4315.09 15273.4 94.2802
670 0.335 5393.74 14057.3 86.7735
680 0.34 5442.56 14012.9 86.4991
690 0.345 5668.68 13865.7 85.5907
700 0.35 5540.79 13978.2 86.2853
710 0.355 5454.41 14056.2 86.7668
720 0.36 5967.29 13671.3 84.3909
730 0.365 4921.8 14340.1 88.5188
740 0.37 5972.51 13607.4 83.9962
750 0.375 5984.81 13870 85.6173
760 0.38 6265.67 13716.6 84.6706
770 0.385 6462.88 13721.5 84.7004
780 0.39 5188.34 15305.7 94.4794
790 0.395 6112.08 14676 90.5926
800 0.4 5180.79 15824.9 97.6843
810 0.405 5330.19 15397.1 95.0438
820 0.41 5763.01 14850.2 91.668
830 0.415 4405.85 16400.9 101.24
840 0.42 5017.06 16094.6 99.3491
850 0.425 5033.71 16504.7 101.881
860 0.43 4747.95 16357.6 100.973
870 0.435 4541.05 16896.6 104.3
880 0.44 4905.74 16668.2 102.89
890 0.445 5617.86 15709.2 96.9706
900 0.45 5956.11 15703.4 96.9343
910 0.455 5711.43 15915.2 98.2422
920 0.46 5514.21 16138.2 99.6187
930 0.465 6421.43 15260.7 94.2018
940 0.47 5951.2 16064 99.1608
950 0.475 6196.58 15921.2 98.2791
960 0.48 5981.75 16388.5 101.163
970 0.485 5884.52 16656 102.815
980 0.49 5086.22 17810.2 109.94
990 0.495 6623.67 16586.2 102.384
1000 0.5 6122.85 17389.5 107.342
